from	to	r	t	p.value	FDR	significant	group
novel_gene_4008_5bd9a17a	evm.TU.05.32	0.9952896129088475	20.53280096957628	1.661468169264084e-5	0.0011768727152248481	TRUE	0
novel_gene_594_5bd9a17a	evm.TU.05.32	0.9919981240593931	15.714496734203198	4.789442386038115e-5	0.001708144802286047	TRUE	0
novel_gene_92_5bd9a17a	evm.TU.05.32	0.9910577269172988	14.85467168333057	5.9794420378840926e-5	0.0018654787788407793	TRUE	0
novel_gene_970_5bd9a17a	evm.TU.05.32	0.9899053021455594	13.968854032510082	7.61700237703208e-5	0.002040268493847879	TRUE	0
evm.TU.07.419	evm.TU.05.321	0.9907335106177944	14.588904074768484	6.420194577964879e-5	0.12031444639106183	FALSE	0
evm.TU.05.876	evm.TU.05.332	0.9881856602296322	12.89541568543085	1.0427171083449823e-4	0.003755786815250292	TRUE	0
evm.TU.06.1050	evm.TU.05.332	0.9983735965402358	35.0243913074201	1.9828156246339527e-6	3.9584101409480374e-4	TRUE	0
evm.TU.06.1707	evm.TU.05.332	0.9997004483722078	81.69238371643092	6.729166350461339e-8	1.0100144009440981e-4	TRUE	0
evm.TU.06.1710	evm.TU.05.332	0.9993003397193191	53.437163938853274	3.670577560581358e-7	1.7187479427422208e-4	TRUE	0
evm.TU.06.1769	evm.TU.05.332	0.9915685259306463	15.303943274815074	5.316746838020627e-5	0.0024288455677103984	TRUE	0
evm.TU.06.2042	evm.TU.05.332	0.9977539657587883	29.790258458126655	3.780669734237976e-6	5.44707262479056e-4	TRUE	0
evm.TU.06.2047	evm.TU.05.332	0.9924516642672238	16.18526664508327	4.262550816714176e-5	0.00204711735377068	TRUE	0
evm.TU.06.238	evm.TU.05.332	0.9966322757746242	24.307911089418617	8.496626026608417e-6	8.754422944765109e-4	TRUE	0
evm.TU.06.672	evm.TU.05.332	0.9985681646825363	37.33375679724	1.536880412107685e-6	3.9584101409480374e-4	TRUE	0
evm.TU.07.1243	evm.TU.05.332	0.9889501149785803	13.341773273529768	9.123767161296567e-5	0.0035601699777309316	TRUE	0
evm.TU.07.1302	evm.TU.05.332	0.9974443772266497	27.92112803925333	4.894232993928114e-6	6.547784569733826e-4	TRUE	0
evm.TU.07.160	evm.TU.05.332	0.9907550190973633	14.606102967333396	6.390471254649302e-5	0.0027181118526562772	TRUE	0
evm.TU.07.1710	evm.TU.05.332	0.9983208772419983	34.46881175652992	2.113406375305946e-6	3.9584101409480374e-4	TRUE	0
evm.TU.07.1724	evm.TU.05.332	0.9868804574143616	12.225012976696334	1.2852725646078587e-4	0.004012192522517532	TRUE	0
evm.TU.07.1781	evm.TU.05.332	0.9962949512355186	23.16907027258254	1.028282460143259e-5	8.754422944765109e-4	TRUE	0
evm.TU.07.1840	evm.TU.05.332	0.9906779016419228	14.544712231541215	6.497361222415493e-5	0.0027181118526562772	TRUE	0
evm.TU.07.374	evm.TU.05.332	0.9882709157468793	12.943036542503302	1.0277516637617734e-4	0.003755786815250292	TRUE	0
evm.TU.07.412	evm.TU.05.332	0.9973536183095085	27.436293580900504	5.247868663751483e-6	6.552838671471018e-4	TRUE	0
evm.TU.07.416	evm.TU.05.332	0.9870301657903057	12.296767989978473	1.2561701421874599e-4	0.004012192522517532	TRUE	0
evm.TU.07.513	evm.TU.05.332	0.9952500901134107	20.446588963238735	1.6894441504147824e-5	0.0011719736643432915	TRUE	0
evm.TU.07.648	evm.TU.05.332	0.988523790182751	13.087373167872057	9.839967988774353e-5	0.003686052008594873	TRUE	0
evm.TU.08.1012	evm.TU.05.332	0.9965487411713476	24.01042330507531	8.923113479006518e-6	8.754422944765109e-4	TRUE	0
evm.TU.08.1197	evm.TU.05.332	0.9994585923023923	60.754210452245886	2.1980204660494088e-7	1.3722974443035143e-4	TRUE	0
evm.TU.08.124	evm.TU.05.332	0.992473683034587	16.20919497039597	4.237750240058465e-5	0.00204711735377068	TRUE	0
evm.TU.08.1815	evm.TU.05.332	0.9959725459693529	22.216967778433794	1.2148957762019319e-5	9.481249120109244e-4	TRUE	0
evm.TU.08.1961	evm.TU.05.332	0.9930686753812585	16.89818371973769	3.594919486839627e-5	0.0018198065402298977	TRUE	0
evm.TU.08.248	evm.TU.05.332	0.9885573835855542	13.106904835203471	9.782554743668464e-5	0.003686052008594873	TRUE	0
evm.TU.08.758	evm.TU.05.332	0.9960072323227324	22.31384499044443	1.1940731924522942e-5	9.481249120109244e-4	TRUE	0
evm.TU.08.830	evm.TU.05.332	0.995359514288899	20.687960093042236	1.6125598546503958e-5	0.0011719736643432915	TRUE	0
evm.TU.09.1689	evm.TU.05.332	0.9873829285179083	12.470835499661677	1.1889074013147616e-4	0.003976470647611694	TRUE	0
evm.TU.09.568	evm.TU.05.332	0.9898723482748998	13.945760440008202	7.666730048706943e-5	0.003055273485367682	TRUE	0
evm.TU.10.1191_evm.TU.10.1192	evm.TU.05.332	0.9878306708239404	12.702508347714978	1.1061888263036143e-4	0.003800029627797369	TRUE	0
evm.TU.10.1213	evm.TU.05.332	0.9952781306586448	20.507643210183364	1.6695717798799835e-5	0.0011719736643432915	TRUE	0
