gene_ID	coefVar.logTPM	coefVar.TPM	relVar.TPM	relVar.logTPM	rank.CVlogTPM	rank.CVTPM	rank.varTPM	rank.varlogTPM
evm.TU.01.865	1.723118496521563	2.3993840862728333	1065.2107500475795	2.1145574782726815	15225	15418	16554	16610
evm.TU.01.2925	0.4313117070809572	1.4691064961072016	1052.5251300788902	0.3373374423553973	11491	13847	16553	13477
evm.TU.08.1575	0.19900223827946356	0.9622379376604993	1039.9763574701474	0.10827532634956558	8619	11967	16552	10629
evm.TU.06.2008	0.14324778055042398	1.0054299817984935	1039.529287192868	0.0562415695806807	6962	12186	16551	9130
evm.TU.04.121	0.1917628565471085	1.4107872507773982	1033.940158206612	0.08779521457514007	8409	13705	16550	10169
novel_gene_3300_5bd9a17a	0.5338327809148202	0.7969828410740248	1024.2388423360314	0.7133341559570531	12059	10849	16549	15480
evm.TU.07.392	0.5577680825832053	1.0791422419813876	1017.9285062773276	0.658528335816721	12217	12516	16548	15286
evm.TU.06.516	0.3201834670571799	0.8407545469403631	1017.4559696646488	0.2801928792683306	10584	11182	16547	12927
novel_gene_1532_5bd9a17a	0.43614025478122537	1.6611193374400866	1006.5264749946498	0.3420922490247035	11510	14521	16546	13516
evm.TU.06.1710	1.261525731374461	1.8638807833186992	1006.0017438249316	1.6204355552337315	14294	14894	16545	16547
evm.TU.10.2012	0.5035680746871428	1.2367190810937017	1005.8777468844479	0.5197384450461221	11828	13184	16544	14663
evm.TU.07.357	0.5521327367082492	2.1822181574147983	1004.4119365259933	0.40595440195755345	12186	15273	16543	13966
evm.TU.09.137	0.46419240911460036	1.1253126481579532	1000.8858600932663	0.48435869503281737	11626	12719	16542	14470
evm.TU.07.1704	2.4494897427831783	2.449489742783178	996.848898592173	2.7071560630986293	16347	15756.5	16541	16628
evm.TU.10.1984	0.32338570584187426	1.0249865238682896	986.7347488848228	0.24349576162723524	10630	12275	16540	12548
evm.TU.02.2272	0.5802946544562787	1.9611465943810356	981.2337220407262	0.3731211660180929	12347	15048	16539	13730
evm.TU.10.1776	0.34904989411983856	0.9927487586313148	969.9891637160498	0.29875424617667257	10907	12136	16538	13114
novel_gene_155_5bd9a17a	0.7332719521806526	1.4432140434468002	965.6066409119	0.8550020739480455	12901	13798	16537	15846
evm.TU.03.652	0.1426349124683749	1.1575256030325571	964.6289828842582	0.053295220768553	6941	12856	16536	9000
evm.TU.09.1488	0.12749238951986513	0.9352575636664454	946.6804966098002	0.04545184647550141	6268	11801	16535	8581
evm.TU.01.3064	0.2656454023174058	1.0097217189954302	945.8981045513682	0.1790656071580146	9913	12204	16534	11805
evm.TU.04.1891	1.1080065623957818	1.4863380018622896	944.4601669140542	1.5699517861057373	13850	13890	16533	16526
evm.TU.03.146	0.43531551592903567	1.3845561564957662	941.8982465903362	0.3604805003280992	11503	13625	16532	13635
novel_gene_977_5bd9a17a	0.09570439267703049	0.6748928324060742	937.006511666369	0.02855490636154325	4576	9834	16531	7245
